company,latest_exit_date,deal_type,hq_location
Axonics,15-Nov-2024,Merger/Acquisition,"""Irvine, CA"""
Azimo,04-Apr-2022,Merger/Acquisition,"""London, United Kingdom"""
BA Insight,22-Feb-2022,Merger/Acquisition,"""Austin, TX"""
Babel Health,25-Mar-2022,Merger/Acquisition,"""Pittsburgh, PA"""
Babylon Health,21-Oct-2021,Reverse Merger,"""Austin, TX"""
Ba�a Food,22-Apr-2025,Merger/Acquisition,"""Madrid, Spain"""
Ballard Motive Solutions,11-Nov-2021,Merger/Acquisition,"""London, United Kingdom"""
Balmonds,14-Jun-2022,Reverse Merger,"""Brighton, United Kingdom"""
Banach Technology,20-Apr-2021,Merger/Acquisition,"""Dublin, Ireland"""
Bandyer,08-Jul-2021,Merger/Acquisition,"""Milan, Italy"""
BanqUP,08-Jan-2021,Merger/Acquisition,"""Kontich, Belgium"""
Bardy Diagnostics,02-Aug-2021,Merger/Acquisition,"""Bellevue, WA"""
Bay Equity,01-Apr-2022,Merger/Acquisition,"""Corte Madera, CA"""
BayMedica,13-Oct-2021,Merger/Acquisition,"""Vancouver, Canada"""
Bbot,01-Mar-2022,Merger/Acquisition,"""Ruffsdale, PA"""
Be Your Essence,26-Feb-2021,Merger/Acquisition,"""Milan, Italy"""
Beacon Bio,10-Jun-2021,Merger/Acquisition,"""Boston, MA"""
Beacon Platform,30-Apr-2025,Merger/Acquisition,"""New York, NY"""
Beam (Financial Software),16-Oct-2025,Merger/Acquisition,"""San Francisco, CA"""
BeammWave (STO: BEAMMW B),11-Mar-2022,IPO,"""Lund, Sweden"""
Beanfields,11-Feb-2022,Merger/Acquisition,"""Los Angeles, CA"""
Beanworks,01-Mar-2021,Merger/Acquisition,"""Vancouver, Canada"""
Bear Flag Robotics,05-Aug-2021,Merger/Acquisition,"""Santa Clara, CA"""
Beauty Labs,31-Aug-2021,Merger/Acquisition,"""Cambridge, United Kingdom"""
Beckley Psytech,03-Jun-2025,Merger/Acquisition,"""Oxford, United Kingdom"""
Becorp Rental Homes,17-Jan-2022,Merger/Acquisition,"""Barcelona, Spain"""
Beeper (Social/Platform Software),01-Apr-2024,Merger/Acquisition,"""Palo Alto, CA"""
BehavioSec,23-Apr-2022,Merger/Acquisition,"""San Francisco, CA"""
Belantis,03-Apr-2025,Merger/Acquisition,"""Leipzig, Germany"""
Belive.ai,14-Apr-2023,Merger/Acquisition,"""Amiens, France"""
BellPal,08-Sep-2023,Merger/Acquisition,"""Stockholm, Sweden"""
Belluscura,28-May-2021,IPO,"""London, United Kingdom"""
Benefitfocus,24-Jan-2023,Merger/Acquisition,"""Charleston, SC"""
Benefits Science,08-May-2023,Merger/Acquisition,"""Boston, MA"""
BentoBox,22-Nov-2021,Merger/Acquisition,"""New York, NY"""
beqom,09-May-2022,Merger/Acquisition,"""Nyon, Switzerland"""
