company,latest_exit_date,deal_type,hq_location,founding_date,source,confidence,notes
Apollo Endosurgery,04-Apr-2023,Merger/Acquisition,"""Austin, TX""",,,,
Apollo Fusion,01-Jul-2021,Merger/Acquisition,"""Mountain View, CA""",,,,
Apollomics (NAS: APLM),26-Mar-2023,Reverse Merger,"""Foster City, CA""",,,,
apoplex medical technologies,05-Nov-2024,Merger/Acquisition,"""Pirmasens, Germany""",,,,
Apostrophe,02-Jul-2021,Merger/Acquisition,"""Oakland, CA""",,,,
ApParkingSpot,06-May-2022,Merger/Acquisition,"""Stockholm, Sweden""",,,,
Appear (Hardware) (OSL: APR),06-Nov-2025,IPO,"""Oslo, Norway""",,,,
Appetize,16-Sep-2021,Merger/Acquisition,"""Los Angeles, CA""",,,,
AppHarvest,29-Jan-2021,Reverse Merger,"""Morehead, KY""",,,,
Applica,23-Sep-2022,Merger/Acquisition,"""Warsaw, Poland""",,,,
Applied BioMath,12-Dec-2023,Merger/Acquisition,"""Concord, MA""",,,,
Applied Graphene,28-Mar-2023,Merger/Acquisition,"""Redcar, United Kingdom""",,,,
Applied Molecular Transport,27-Dec-2023,Merger/Acquisition,"""Menlo Park, CA""",,,,
Aptamer Group (LON: APTA),22-Dec-2021,IPO,"""York, United Kingdom""",,,,
Apton Biosystems,02-Aug-2023,Merger/Acquisition,"""Pleasanton, CA""",,,,
Aquana,02-Jul-2021,Merger/Acquisition,"""Houston, TX""",,,,
Aquaporin,01-Jul-2021,IPO,"""Kongens Lyngby, Denmark""",,,,
Aramis Group (PAR: ARAMI),17-Jun-2021,IPO,"""Arcueil, France""",,,,
Aran Biomedical,06-Apr-2022,Merger/Acquisition,"""Galway, Ireland""",,,,
Araris,31-Mar-2025,Merger/Acquisition,"""Zurich, Switzerland""",,,,
Arcadia Gaming,11-Sep-2024,Merger/Acquisition,"""Nicosia, Cyprus""",,,,
Arcan,20-Dec-2023,Merger/Acquisition,"""Milan, Italy""",,,,
ArcaNatura,19-Dec-2022,Merger/Acquisition,"""Lyon, France""",,,,
Arcellx (NAS: ACLX),04-Feb-2022,IPO,"""Gaithersburg, MD""",,,,
Archaea Energy,28-Dec-2022,Merger/Acquisition,"""Houston, TX""",,,,
ArcherDX,20-Dec-2022,Merger/Acquisition,"""Boulder, CO""",,,,
Arcion,03-Nov-2023,Merger/Acquisition,"""San Mateo, CA""",,,,
Arctic Fish Holding (OSL: AFISH),29-Dec-2022,Merger/Acquisition,"""Isafjordur, Iceland""",,,,
arculus (Hardware),28-Oct-2021,Merger/Acquisition,"""Munich, Germany""",,,,
Ardgowan,14-Jun-2021,Merger/Acquisition,"""Inverkip, United Kingdom""",,,,
Area 1 Security,01-Apr-2022,Merger/Acquisition,"""San Mateo, CA""",,,,
Arecor Therapeutics (LON: AREC),03-Jun-2021,IPO,"""Little Chesterford, United Kingdom""",,,,
Arena Solutions,15-Jan-2021,Merger/Acquisition,"""Boston, MA""",,,,
Aretto Wellness (BER: 0RW0),09-Mar-2021,IPO,"""Vancouver, Canada""",,,,
Argeo,26-Apr-2021,IPO,"""Hvalstad, Norway""",,,,
ARInspect,31-Oct-2023,Merger/Acquisition,"""McLean, VA""",,,,
Arix Bioscience,22-Jan-2024,Merger/Acquisition,"""London, United Kingdom""",,,,
Armory (Business/Productivity Software),11-Jan-2024,Merger/Acquisition,"""San Francisco, CA""",,,,
Arqit (NAS: ARQQ),03-Sep-2021,Reverse Merger,"""London, United Kingdom""",,,,
Arrival UK,24-Mar-2021,Reverse Merger,"""London, United Kingdom""",,,,
ArriVent Biopharma (NAS: AVBP),26-Jan-2024,IPO,"""Newtown Square, PA""",,,,
Arroweye,06-May-2025,Merger/Acquisition,"""Henderson, NV""",,,,
ARS Pharmaceuticals (NAS: SPRY),08-Nov-2022,Reverse Merger,"""San Diego, CA""",,,,
ARTELLA Solutions,30-Sep-2021,Merger/Acquisition,"""Houston, TX""",,,,
Arteris (NAS: AIP),27-Oct-2021,IPO,"""Campbell, CA""",,,,
Artiva (NAS: ARTV),19-Jul-2024,IPO,"""San Diego, CA""",,,,
ARTMS,11-Apr-2024,Merger/Acquisition,"""Burnaby, Canada""",,,,
Arvelle Therapeutics,02-Feb-2021,Merger/Acquisition,"""Zug, Switzerland""",,,,
Arx (Business/Productivity Software),09-Sep-2021,Merger/Acquisition,"""Auburn Hills, MI""",,,,
Aryeo,31-Jul-2023,Merger/Acquisition,"""Boston, MA""",,,,
Asanalyzer,13-Apr-2022,Merger/Acquisition,"""Peterborough, United Kingdom""",,,,
Ascend Wellness Holdings (CNQ: AAWH.U),28-Apr-2021,IPO,"""Morristown, NJ""",,,,
Ask Sage,31-Dec-2025,Merger/Acquisition,"""Arlington, VA""",,,,
ASMPT NEXX,01-Feb-2025,Merger/Acquisition,"""Billerica, MA""",,,,
Asset Entities,02-Feb-2023,IPO,"""Dallas, TX""",,,,
AST SpaceMobile (NAS: ASTS),06-Apr-2021,Reverse Merger,"""Midland, TX""",,,,
Asteo Red Neutra,01-Jul-2021,Buyout/LBO,"""Madrid, Spain""",,,,
Astera Labs (NAS: ALAB),20-Mar-2024,IPO,"""San Jose, CA""",,,,
Astra Space,30-Jun-2021,Reverse Merger,"""Alameda, CA""",,,,
Astria Therapeutics,23-Jan-2026,Merger/Acquisition,"""Boston, MA""",,,,
Astrid Intelligence (LON: CLAI),26-Feb-2021,IPO,"""London, United Kingdom""",,,,
Astrocast,25-Aug-2021,IPO,Switzerland,,,,
Astronaut Party,25-May-2021,Merger/Acquisition,"""San Francisco, CA""",,,,
Asuragen,06-Apr-2021,Merger/Acquisition,"""Austin, TX""",,,,
Asystem,25-Aug-2023,Merger/Acquisition,"""Los Angeles, CA""",,,,
At Mine Hospitality,03-Jun-2021,Merger/Acquisition,"""Miami Beach, FL""",,,,
AtaiBeckley (NAS: ATAI),18-Jun-2021,IPO,"""New York, NY""",,,,
Atenoil,31-May-2024,Merger/Acquisition,"""Madrid, Spain""",,,,
Athelas (Enterprise Systems),30-Oct-2023,Merger/Acquisition,"""Mountain View, CA""",,,,
Athonet,23-Feb-2023,Merger/Acquisition,"""Bolzano Vicentino, Italy""",,,,
Atlanta Micro,29-Nov-2021,Merger/Acquisition,"""Norcross, GA""",,,,
Atlantic International (NAS: ATLN),27-Aug-2021,IPO,"""Billerica, MA""",,,,
Atom Power,04-Aug-2022,Merger/Acquisition,"""Huntersville, NC""",,,,
Atomic Alchemy,28-Feb-2025,Merger/Acquisition,"""Idaho Falls, ID""",,,,
Atomic Jelly (WAR: ATJ),09-Feb-2021,IPO,"""Poznan, Poland""",,,,
Atreus,01-Feb-2023,Merger/Acquisition,"""Munich, Germany""",,,,
Atrin Pharmaceuticals,16-May-2022,Merger/Acquisition,"""Doylestown, PA""",,,,
atSpoke,02-Aug-2021,Merger/Acquisition,"""San Francisco, CA""",,,,
Attivo Networks,02-May-2022,Merger/Acquisition,"""Fremont, CA""",,,,
Attune Medical,01-Apr-2024,Merger/Acquisition,"""Chicago, IL""",,,,
Auddia (NAS: AUUD),17-Feb-2021,IPO,"""Boulder, CO""",,,,
